4980	3
62	41	32
80	53	40
71	47	36
74	51	41
66	44	35
58	37	28
51	33	25
46	29	22
47	30	23
60	38	30
65	43	33
71	47	36
62	41	32
75	49	38
69	45	35
64	42	34
55	38	32
63	42	36
65	42	33
57	38	31
62	41	34
69	45	36
56	39	33
59	40	34
63	41	32
58	38	31
61	40	33
50	31	26
40	27	23
49	31	26
69	43	34
26	21	19
49	31	27
37	25	22
54	33	27
66	41	34
27	21	20
85	51	37
105	63	46
83	48	37
67	38	29
68	40	32
65	36	29
81	46	36
104	63	47
90	53	40
42	26	21
41	25	21
53	32	26
81	46	36
83	46	37
84	45	37
82	44	36
74	40	33
52	31	26
74	42	33
77	40	33
75	39	32
79	43	34
75	43	34
55	29	26
69	34	31
60	31	28
49	26	24
54	28	25
51	28	25
52	26	24
110	64	50
47	37	33
34	27	24
61	39	33
66	42	35
42	33	30
42	32	29
62	40	34
62	41	35
72	48	37
75	49	38
77	50	39
80	53	40
81	53	41
81	53	40
81	53	41
75	49	38
64	42	33
58	39	30
70	46	35
71	47	36
75	49	38
77	51	39
78	51	39
81	53	41
81	53	41
84	55	42
85	56	42
87	56	43
89	58	44
90	59	44
91	60	45
92	60	45
92	60	45
92	60	45
91	59	44
89	58	43
87	57	42
85	55	41
82	53	40
79	51	39
76	49	37
75	51	40
78	52	41
78	53	40
81	54	41
81	54	41
81	54	42
82	54	41
83	55	42
82	54	41
83	55	42
84	55	42
85	55	42
86	56	43
87	57	43
89	58	44
90	59	44
92	60	45
94	61	46
95	61	46
97	62	47
97	63	47
98	63	47
98	63	47
98	63	47
97	62	46
96	62	45
94	60	45
92	59	44
89	57	42
87	55	41
83	53	40
81	51	39
78	50	38
74	47	36
74	52	40
81	55	43
81	54	42
83	56	43
83	56	42
84	56	43
85	57	43
85	57	43
86	56	43
85	56	42
86	56	43
86	56	43
86	56	43
86	56	43
87	57	43
88	57	43
88	57	43
89	58	43
91	59	44
92	59	44
94	60	45
95	61	46
97	62	46
99	63	47
100	64	48
101	65	48
102	65	48
102	66	48
102	65	48
101	65	47
99	64	46
97	62	46
95	61	45
93	60	44
91	58	43
89	57	42
87	55	41
85	54	40
83	52	39
80	51	38
77	49	36
79	54	42
82	55	42
84	56	43
85	57	43
86	57	43
87	57	43
87	57	43
88	57	43
88	57	43
88	57	43
88	57	43
88	57	43
88	57	43
88	57	43
88	57	43
89	57	43
89	57	43
90	58	43
90	58	43
91	59	44
93	59	44
95	60	45
96	61	46
98	63	46
100	63	47
102	65	48
103	66	48
105	67	49
105	67	49
105	67	49
105	67	49
103	66	48
102	65	47
99	64	46
97	63	46
95	61	45
93	60	44
91	58	43
89	57	42
87	56	42
85	55	41
84	53	40
82	52	39
80	51	38
75	51	40
80	54	41
82	55	41
84	56	42
85	56	42
87	57	43
88	58	43
89	58	43
89	58	43
89	58	43
89	58	43
90	58	43
90	58	43
89	58	43
89	58	43
89	57	43
89	57	43
90	58	43
90	58	43
91	58	43
91	58	43
92	59	44
93	59	44
95	60	44
96	61	45
98	62	46
101	63	47
103	65	48
105	66	48
107	67	49
108	68	50
109	69	50
108	68	49
106	68	49
105	66	48
103	65	47
100	63	46
97	62	45
95	61	44
93	60	44
92	59	43
90	58	43
88	57	42
87	56	42
85	55	41
83	54	40
82	52	39
80	51	38
79	53	40
81	54	40
83	54	41
85	56	42
87	56	42
88	57	42
89	58	43
90	58	43
90	58	43
90	58	43
90	58	43
91	58	43
90	58	43
90	58	43
90	58	43
90	58	43
90	58	43
91	58	43
91	58	43
91	58	43
92	58	43
92	59	43
94	59	44
95	60	44
96	60	45
98	61	45
100	62	46
103	64	47
105	65	48
107	67	49
110	68	50
111	69	50
111	69	50
110	69	50
108	68	49
105	66	48
102	65	46
99	62	45
95	60	44
93	59	43
92	59	43
91	58	43
89	57	43
88	57	42
86	56	42
85	55	41
84	54	41
82	53	40
81	52	39
80	51	38
80	53	40
82	54	40
83	54	40
85	55	41
86	56	42
88	57	42
89	57	43
90	58	43
91	58	43
91	58	43
91	58	43
91	58	43
91	58	43
91	58	43
91	58	43
91	58	43
91	58	43
91	58	43
92	58	43
92	58	43
93	59	43
93	58	43
94	59	43
95	60	44
96	60	44
98	61	45
99	62	46
101	63	46
104	64	47
106	65	48
109	67	49
111	69	50
113	70	51
112	70	50
111	69	50
108	68	49
105	66	47
101	63	46
96	60	44
92	58	42
90	57	41
89	57	42
88	56	42
88	56	42
87	56	42
85	55	42
84	54	41
82	53	40
77	50	38
77	50	38
77	50	38
79	50	38
78	49	37
75	49	37
80	52	39
81	53	40
83	54	40
85	55	40
86	56	41
88	56	42
89	57	42
90	58	43
91	58	43
92	58	43
92	58	43
92	58	43
92	58	43
91	58	43
92	58	43
92	58	43
92	58	43
92	58	43
92	58	43
93	58	43
93	59	43
94	59	43
94	59	43
95	59	44
96	60	44
