4980	3
-82.0337	-34.3405	-31.8184
-82.1781	-8.06929	-28.8701
-79.9832	15.9603	-38.4324
-75.0323	41.6865	-30.3273
-64.2174	66.3065	-32.571
-46.5097	82.4416	-32.1616
-23.7271	92.3348	-7.71118
1.47128	95.8727	-4.38258
26.7654	91.3969	-9.38481
48.2987	79.9801	-30.0438
65.3222	63.8506	-31.2219
75.5808	38.8619	-31.9647
79.6659	13.0698	-39.4139
81.1883	-10.9541	-29.1754
79.9151	-37.4166	-31.7865
59.623	-55.9096	-0.967197
45.3851	-65.9892	10.5647
29.8496	-65.7149	18.4869
15.7263	-56.3937	18.0518
30.7386	-56.7962	13.8773
44.8218	-57.2015	10.1332
-61.7761	-52.8979	-0.0268149
-48.0658	-63.6378	11.3735
-32.7741	-64.1265	18.7819
-17.2318	-55.5228	18.398
-32.9403	-55.3397	14.1651
-47.134	-55.0877	10.9453
-50.56	-34.3199	4.87744
-37.4765	-41.6042	15.1564
-23.0451	-34.5525	10.0166
-36.964	-29.7063	9.79563
-36.803	-36.0423	10.6495
49.6698	-36.2555	3.79935
36.1765	-42.8439	14.7394
22.4037	-35.3326	9.57682
36.5009	-31.5102	9.06698
36.4896	-37.2262	9.83565
-8.95015	-36.1798	17.1439
-11.7074	-10.8519	29.7143
-22.3989	5.03124	21.8042
-15.5935	14.4157	25.0154
0.583915	16.9451	30.6676
17.3854	14.2064	23.9614
23.9112	6.63389	19.2543
11.8499	-11.4229	28.8215
7.9667	-36.3829	16.9922
-11.1157	9.59808	28.5206
12.2104	9.64985	27.7638
-27.314	42.7359	17.4476
-16.6665	33.9926	28.6557
-6.45332	30.7786	33.2088
0.160706	31.2997	33.8545
6.76431	30.4861	33.1325
17.8124	33.9395	28.3162
29.3795	42.472	16.4167
21.6126	47.8771	21.5168
12.1909	50.0904	28.7772
0.787403	51.1632	31.6818
-10.3271	50.4731	29.1902
-19.4987	48.169	22.609
-11.6704	41.8358	27.6717
0.344766	42.7549	30.4734
12.5895	41.7431	27.7612
12.6778	38.947	28.036
0.282303	38.4915	31.1541
-11.7674	38.8749	28.4269
0.517092	40.5279	30.0498
0.577417	1.05771	43.4067
-44.0746	-37.8795	9.57659
-30.2549	-38.1341	10.8313
-30.0313	-32.1556	9.49674
-43.7489	-32.0443	7.98291
43.0206	-39.583	9.03687
29.3228	-39.1789	10.2911
29.4624	-33.4446	9.14435
43.0227	-33.9029	7.50761
-82.2566	-1.03003	-32.0955
-82.2329	-3.28037	-31.3191
-82.2061	-5.61224	-29.2798
-82.1781	-8.06929	-27.0185
-82.1518	-10.7303	-28.1998
-82.1267	-13.5067	-28.1001
-82.1031	-16.3453	-28.3866
-82.0474	-24.934	-30.8203
-82.0303	-33.0908	-33.199
-82.0605	-37.7708	-35.0253
-79.8847	18.1898	-38.8804
-79.9832	15.9603	-34.4576
-80.0495	13.8076	-36.6718
-80.1195	9.59825	-31.8129
-80.1315	7.50475	-29.9359
-80.1317	5.40199	-28.0172
-80.122	3.27869	-25.9523
-80.104	1.12309	-24.4735
-80.0796	-1.07818	-23.6699
-80.0504	-3.34213	-23.2742
-80.0182	-5.69369	-22.425
-79.9851	-8.1749	-22.4386
-79.9532	-10.8187	-22.7536
-79.9229	-13.5818	-22.6757
-79.8946	-16.4119	-23.1145
-79.869	-19.2733	-23.9061
-79.8467	-22.1375	-24.6376
-79.8285	-24.9786	-25.4296
-79.8152	-27.7707	-26.2733
-79.8078	-30.4839	-27.3504
-79.8077	-33.0787	-28.4054
-79.8171	-35.5024	-29.1967
-79.8351	-37.7519	-30.4505
-76.8353	32.1667	-33.9096
-77.0168	29.8034	-33.7573
-77.1894	27.4502	-32.429
-77.3511	25.11	-31.9696
-77.4997	22.7863	-30.3461
-77.633	20.4846	-29.2413
-77.7476	18.2134	-28.5145
-77.8386	15.9887	-26.9725
-77.9019	13.8226	-25.4364
-77.9419	11.6966	-24.3672
-77.9639	9.58838	-22.8878
-77.9713	7.48225	-21.2511
